alliance,type,column,row,x,y,z
red,post,high,8,-7.900929,-0.975011,1.174763
red,post,mid,8,-7.469156,-0.975011,0.666763
red,post,low,8,-7.096732,-0.975011,0
red,shelf,high,7,-7.900929,-0.416706,1.029539
red,shelf,mid,7,-7.469156,-0.416706,0.725501
red,shelf,low,7,-7.096732,-0.416706,0
red,post,high,6,-7.900929,0.142589,1.174763
red,post,mid,6,-7.469156,0.142589,0.666763
red,post,low,6,-7.096732,0.142589,0
red,post,high,5,-7.900929,0.701389,1.174763
red,post,mid,5,-7.469156,0.701389,0.666763
red,post,low,5,-7.096732,0.701389,0
red,shelf,high,4,-7.900929,1.260189,1.029539
red,shelf,mid,4,-7.469156,1.260189,0.725501
red,shelf,low,4,-7.096732,1.260189,0
red,post,high,3,-7.900929,1.818989,1.174763
red,post,mid,3,-7.469156,1.818989,0.666763
red,post,low,3,-7.096732,1.818989,0
red,post,high,2,-7.900929,2.377789,1.174763
red,post,mid,2,-7.469156,2.377789,0.666763
red,post,low,2,-7.096732,2.377789,0
red,shelf,high,1,-7.900929,2.936589,1.029539
red,shelf,mid,1,-7.469156,2.936589,0.725501
red,shelf,low,1,-7.096732,2.936589,0
red,post,high,0,-7.900929,3.495389,1.174763
red,post,mid,0,-7.469156,3.495389,0.666763
red,post,low,0,-7.096732,3.495389,0
blue,post,high,8,7.900929,-0.975011,1.174763
blue,post,mid,8,7.469156,-0.975011,0.666763
blue,post,low,8,7.096732,-0.975011,0
blue,shelf,high,7,7.900929,-0.416706,1.029539
blue,shelf,mid,7,7.469156,-0.416706,0.725501
blue,shelf,low,7,7.096732,-0.416706,0
blue,post,high,6,7.900929,0.142589,1.174763
blue,post,mid,6,7.469156,0.142589,0.666763
blue,post,low,6,7.096732,0.142589,0
blue,post,high,5,7.900929,0.701389,1.174763
blue,post,mid,5,7.469156,0.701389,0.666763
blue,post,low,5,7.096732,0.701389,0
blue,shelf,high,4,7.900929,1.260189,1.029539
blue,shelf,mid,4,7.469156,1.260189,0.725501
blue,shelf,low,4,7.096732,1.260189,0
blue,post,high,3,7.900929,1.818989,1.174763
blue,post,mid,3,7.469156,1.818989,0.666763
blue,post,low,3,7.096732,1.818989,0
blue,post,high,2,7.900929,2.377789,1.174763
blue,post,mid,2,7.469156,2.377789,0.666763
blue,post,low,2,7.096732,2.377789,0
blue,shelf,high,1,7.900929,2.936589,1.029539
blue,shelf,mid,1,7.469156,2.936589,0.725501
blue,shelf,low,1,7.096732,2.936589,0
blue,post,high,0,7.900929,3.495389,1.174763
blue,post,mid,0,7.469156,3.495389,0.666763
blue,post,low,0,7.096732,3.495389,0
