hood,distance,time
down,0,0
up,0,0
down,0.248478923502656,0
down,1.58015621167876,1.11
down,1.57970733613087,1.01
down,1.5795995554186,1.06
down,1.57965195834274,1.12
down,1.79908575262944,1.08
down,1.7983168144331,1.04
down,1.79860170818331,1.11
down,1.79837929418519,1.09
down,2.08734123340386,0.97
down,2.08608227006371,1.15
down,2.08862358083726,1.08
down,2.0855493395685,1.1
down,2.40517887163549,1.09
down,2.40497355585245,1.04
down,2.40510020003158,1.11
down,2.40445200859591,1.05
down,2.7749809794572,1.22
down,2.77476495690871,1.11
down,2.77484739749016,1.16
down,2.77456187502116,1.24
up,2.75202164010069,0.83
up,2.75079607911901,0.88
up,2.75046493648407,0.89
up,2.75029383810981,0.92
up,3.046500181639,0.82
up,3.04653996614086,1.01
up,3.04542523097291,0.83
up,3.04372282532071,0.98
down,3.04135365880419,1.49
up,3.28869880292563,1.03
up,3.28909879845786,0.94
up,3.28895663771459,0.88
up,3.2888528311463,1
up,3.5960621016593,1
up,3.59601676292566,1.15
up,3.59604017461032,0.99
up,3.59572282305097,1.18
up,3.90778805647794,1.09
up,3.90744408747437,1.15
up,3.90716273172764,1.12
up,3.90704453021302,1.27
up,4.28647451633747,1.2
up,4.28711444619102,1.24
up,4.2738621974582,1.07
up,4.28679066893309,1.23
up,4.55431819747499,1.31
up,4.55377056252709,1.25
up,4.55344956595171,1.25
up,4.55356552182636,1.16
up,4.87087845885424,1.14
up,4.87080122224672,1.23
up,4.87035531252394,1.28
up,4.8700723143,1.31
up,5.74067677360279,1.55
up,5.74032327914465,1.69
up,5.74031986130152,1.63
up,5.74030059620198,1.56
up,7.16467989084514,1.86
up,7.16814222505364,1.89
up,7.1639166577126,1.82
up,7.16149086227429,1.86
